# K=64  total_nodes=4368652  full(keep==K)=2066747 (47.31%)  under(keep<K)=2301905 (52.69%)
keep,num_nodes
0,0
1,1041736
2,181419
3,89167
4,114984
5,38234
6,84075
7,26287
8,66972
9,26618
10,37316
11,8073
12,69557
13,6323
14,21045
15,15957
16,42136
17,3967
18,33466
19,3019
20,27282
21,10070
22,9958
23,1824
24,50135
25,3871
26,7675
27,6654
28,15661
29,1923
30,20885
31,1413
32,26530
33,4053
34,5021
35,2785
36,32040
37,937
38,3259
39,2591
40,19806
41,794
42,11265
43,632
44,11826
45,6155
46,1844
47,652
48,36241
49,1300
50,4879
51,1589
52,6095
53,569
54,11670
55,1772
56,11481
57,2079
58,1709
59,310
60,19186
61,317
62,1664
63,3152
64,2066747
